model,sample,relative_l2
DeepONet,0,0.09737447649240494
DeepONet,1,0.09594827890396118
DeepONet,2,0.09489109367132187
DeepONet,3,0.09238571673631668
DeepONet,4,0.08570802956819534
DeepONet,5,0.07169925421476364
DeepONet,6,0.07349652051925659
DeepONet,7,0.0835520401597023
DeepONet,8,0.09397400915622711
DeepONet,9,0.11208174377679825
FNO,0,0.021222030743956566
FNO,1,0.013875091448426247
FNO,2,0.01376837957650423
FNO,3,0.013545741327106953
FNO,4,0.01283850148320198
FNO,5,0.01132852490991354
FNO,6,0.011411036364734173
FNO,7,0.012062382884323597
FNO,8,0.013539389707148075
FNO,9,0.01853863336145878
