depth,width,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_max_abs_mean,test_max_abs_std,elapsed_sec_mean,elapsed_sec_std
1,10,0.02305444950858752,0.005728622834561817,0.02658650279045105,0.007746005464520321,0.14025856802860895,0.017616635185999884,0.30195047458012897,0.07126044484866151,0.6631733650000721,0.004025348208571103
1,20,0.013282548946638903,0.00208248947806083,0.01627936152120431,0.0008023924297924726,0.11055720349152882,0.004492601653007846,0.27262892325719196,0.061201498553161454,0.67872075500001,0.0027628727093723443
1,40,0.012155663532515367,0.002232488503290788,0.015283283777534962,0.003313120696334197,0.1053170735637347,0.010080836020150063,0.3193904360135396,0.07803631422587286,0.6771158903334253,0.006589898503505584
1,80,0.012086354196071625,0.001857756669292052,0.014720415075620016,0.00281932386082109,0.10369725028673808,0.010559810245700676,0.26012004415194195,0.014932128225700727,0.7937989293332824,0.01489497577401573
2,10,0.00038046563471046585,6.224094190268683e-05,0.0005666514916811138,0.0001167458280215819,0.018841902414957683,0.0023291207090551888,0.09952195237080257,0.01017759503497716,0.8772418449999956,0.0039059588138710007
2,20,0.00012433821999972375,0.00010560456346991075,0.00018041824660031125,7.623793706289003e-05,0.009259359600643316,0.0022343131817653458,0.0627753275136153,0.017545886976171727,0.9060209183332972,0.00703232546883832
2,40,4.998771813310062e-05,2.470676808259553e-05,0.00011386860326941435,3.099509737592721e-05,0.007442118289570014,0.0011869690391469263,0.04716792702674866,0.015225527634466557,0.9375329056666336,0.011721962958552493
2,80,2.468707468021118e-05,1.58934597668963e-05,7.069507410051301e-05,5.0666373455216424e-05,0.005031682240466277,0.002292726534372607,0.046262823045253754,0.012716653983966982,1.3772700866666128,0.10339110347865657
3,10,9.213710291078314e-05,2.1148637455671563e-05,0.00024520680502367515,0.0001237569881845283,0.010507678302625814,0.0022308016136286944,0.07037837555011113,0.029234293598242353,1.0747111469998647,0.007807047715498001
3,20,2.1190749369755697e-05,5.211942853222713e-06,7.530789904800865e-05,6.064828971347165e-05,0.0047429408878088,0.0013025428151934957,0.04648227741320928,0.021999758684871442,1.0973086493333237,0.013389680814020937
3,40,1.483606956753647e-05,1.881188027968178e-06,5.951316052232869e-05,4.004804344560737e-05,0.0044776881113648415,0.0009650297105042405,0.043130616967876755,0.021854202454790896,1.1446047613333121,0.004017781265263976
3,80,9.075243118180273e-06,2.5527071238909197e-06,3.688203166044938e-05,1.935424623899938e-05,0.00346833902100722,0.0003157291852993198,0.03519227107365926,0.014354868707309842,1.5171453593333506,0.021768655256293408
4,10,6.249556645343546e-05,5.74719172700924e-05,0.00011338534629127632,7.650321364619601e-05,0.007028254369894664,0.002801200169964843,0.05260368250310421,0.021173365907857757,1.238987796666682,0.004319377400925502
4,20,2.644383251511802e-05,1.0293048548142924e-05,7.704284689680208e-05,6.0367457813141455e-05,0.005181119699651997,0.0016356660365874419,0.0406444842616717,0.01952772090687739,1.2716940639999545,0.007500575397379311
4,40,4.104605432075914e-05,3.265728153323983e-05,0.00015690955721462765,0.000176032525741708,0.006607579688231151,0.003746259724111565,0.05714719990889231,0.037385647251850354,1.3820415683333067,0.005660938688977456
4,80,0.0009560168073221575,0.001320316707817736,0.0008750095560875101,0.0011332590992157018,0.018346616066992283,0.019090089888762558,0.0619142030676206,0.017222164730483727,1.8735804709999684,0.04169081463539333
