epoch,total,loss_f,loss_ic,loss_bc,lambda_f,lambda_ic,lambda_bc,n_f
1,1.433741807937622,0.570900022983551,0.1335836946964264,0.729258120059967,1.0,1.0,1.0,2000
2,1.1685640811920166,0.2024163007736206,0.1516990214586258,0.8144487738609314,1.0,1.0,1.0,2000
3,1.2329778671264648,0.11812657862901688,0.16760684549808502,0.94724440574646,1.0,1.0,1.0,2000
4,1.1834232807159424,0.03895018622279167,0.15819650888442993,0.9862766265869141,1.0,1.0,1.0,2000
5,1.129293441772461,0.010582341812551022,0.145174041390419,0.9735370874404907,1.0,1.0,1.0,2000
6,1.1152634620666504,0.048019666224718094,0.1357576698064804,0.9314861297607422,1.0,1.0,1.0,2000
7,1.098065733909607,0.09250620752573013,0.12918801605701447,0.8763715028762817,1.0,1.0,1.0,2000
8,1.0841479301452637,0.1321072280406952,0.12511666119098663,0.8269240856170654,1.0,1.0,1.0,2000
9,1.0881410837173462,0.16555733978748322,0.12394662201404572,0.7986371517181396,1.0,1.0,1.0,2000
10,1.095278263092041,0.1743655800819397,0.12468768656253815,0.7962249517440796,1.0,1.0,1.0,2000
11,1.0866419076919556,0.1475483775138855,0.12544067203998566,0.8136528730392456,1.0,1.0,1.0,2000
12,1.0647917985916138,0.09775405377149582,0.12517182528972626,0.8418659567832947,1.0,1.0,1.0,2000
13,1.0495258569717407,0.052579086273908615,0.1241268590092659,0.8728199005126953,1.0,1.0,1.0,2000
14,1.0534355640411377,0.0320005789399147,0.12303745746612549,0.8983975648880005,1.0,1.0,1.0,2000
15,1.0646398067474365,0.03178717941045761,0.12230126559734344,0.9105514287948608,1.0,1.0,1.0,2000
16,1.0630642175674438,0.03567272797226906,0.12186728417873383,0.9055242538452148,1.0,1.0,1.0,2000
17,1.0464203357696533,0.03886716812849045,0.12167881429195404,0.8858743906021118,1.0,1.0,1.0,2000
18,1.028775930404663,0.049052268266677856,0.12183288484811783,0.8578908443450928,1.0,1.0,1.0,2000
19,1.0221718549728394,0.07126639038324356,0.12231630831956863,0.8285892009735107,1.0,1.0,1.0,2000
20,1.0245640277862549,0.09793124347925186,0.12282482534646988,0.8038079738616943,1.0,1.0,1.0,2000
21,1.0251203775405884,0.11489041149616241,0.12300436943769455,0.787225604057312,1.0,1.0,1.0,2000
22,1.0178947448730469,0.11472304165363312,0.12284550070762634,0.780326247215271,1.0,1.0,1.0,2000
23,1.006404161453247,0.10093645006418228,0.12271250784397125,0.7827552556991577,1.0,1.0,1.0,2000
24,0.9973775148391724,0.0820712149143219,0.1230163648724556,0.7922899127006531,1.0,1.0,1.0,2000
25,0.9934567213058472,0.06477157026529312,0.12390485405921936,0.8047803044319153,1.0,1.0,1.0,2000
26,0.9920191764831543,0.05186240375041962,0.12519948184490204,0.8149572610855103,1.0,1.0,1.0,2000
27,0.9894039630889893,0.04477057233452797,0.1265197992324829,0.8181136250495911,1.0,1.0,1.0,2000
28,0.9843467473983765,0.04529908671975136,0.12740939855575562,0.8116382360458374,1.0,1.0,1.0,2000
29,0.9778261184692383,0.05464116483926773,0.12744449079036713,0.7957404255867004,1.0,1.0,1.0,2000
30,0.9718677997589111,0.07197721302509308,0.12643209099769592,0.7734584808349609,1.0,1.0,1.0,2000
31,0.9683610200881958,0.0938119888305664,0.12461194396018982,0.7499370574951172,1.0,1.0,1.0,2000
32,0.9670583009719849,0.11357834190130234,0.12261772155761719,0.7308622598648071,1.0,1.0,1.0,2000
33,0.9650775790214539,0.12354068458080292,0.12114717811346054,0.720389723777771,1.0,1.0,1.0,2000
34,0.9602985978126526,0.12015575170516968,0.12059235572814941,0.7195504903793335,1.0,1.0,1.0,2000
35,0.95461106300354,0.10771236568689346,0.12088941037654877,0.7260092496871948,1.0,1.0,1.0,2000
36,0.9516167640686035,0.09524548053741455,0.12155337631702423,0.7348179221153259,1.0,1.0,1.0,2000
37,0.9512456655502319,0.08957357704639435,0.1218319684267044,0.7398401498794556,1.0,1.0,1.0,2000
38,0.9497472643852234,0.09227174520492554,0.12109804898500443,0.736377477645874,1.0,1.0,1.0,2000
39,0.9459463357925415,0.10281457006931305,0.11930535733699799,0.7238264083862305,1.0,1.0,1.0,2000
40,0.9427734017372131,0.11986742913722992,0.11702045798301697,0.7058855295181274,1.0,1.0,1.0,2000
41,0.941857635974884,0.13841183483600616,0.11502949893474579,0.6884163022041321,1.0,1.0,1.0,2000
42,0.9413479566574097,0.15086209774017334,0.11388830095529556,0.676597535610199,1.0,1.0,1.0,2000
43,0.9396486282348633,0.15327748656272888,0.11366886645555496,0.6727022528648376,1.0,1.0,1.0,2000
44,0.9375380277633667,0.14826272428035736,0.11395557969808578,0.6753197312355042,1.0,1.0,1.0,2000
45,0.9360882043838501,0.14179736375808716,0.1140923947095871,0.6801984310150146,1.0,1.0,1.0,2000
46,0.9351474642753601,0.13898971676826477,0.1136278286576271,0.6825299263000488,1.0,1.0,1.0,2000
47,0.934185266494751,0.14209146797657013,0.11261176317930222,0.6794820427894592,1.0,1.0,1.0,2000
48,0.9328258037567139,0.15000970661640167,0.11146584898233414,0.6713502407073975,1.0,1.0,1.0,2000
49,0.9310879707336426,0.15946997702121735,0.1106477901339531,0.6609702110290527,1.0,1.0,1.0,2000
50,0.929659366607666,0.16722902655601501,0.11039423197507858,0.6520360708236694,1.0,1.0,1.0,2000
51,0.9287698268890381,0.17101721465587616,0.11059699207544327,0.6471556425094604,1.0,1.0,1.0,2000
52,0.9275588989257812,0.1700422614812851,0.1108807697892189,0.6466358304023743,1.0,1.0,1.0,2000
53,0.925717830657959,0.16604535281658173,0.11091561615467072,0.6487568616867065,1.0,1.0,1.0,2000
54,0.9242110252380371,0.16252759099006653,0.11066891252994537,0.651014506816864,1.0,1.0,1.0,2000
55,0.9233248829841614,0.16170020401477814,0.1103338971734047,0.651290774345398,1.0,1.0,1.0,2000
56,0.9220917224884033,0.16322240233421326,0.11011333763599396,0.6487559676170349,1.0,1.0,1.0,2000
57,0.9204005002975464,0.16599537432193756,0.11010308563709259,0.6443020105361938,1.0,1.0,1.0,2000
58,0.9191685914993286,0.168938547372818,0.11025697737932205,0.6399730443954468,1.0,1.0,1.0,2000
59,0.9183376431465149,0.1702684760093689,0.1104053184390068,0.6376638412475586,1.0,1.0,1.0,2000
60,0.9171242713928223,0.16866104304790497,0.11039001494646072,0.638073205947876,1.0,1.0,1.0,2000
61,0.9157353639602661,0.16507399082183838,0.11020435392856598,0.640457034111023,1.0,1.0,1.0,2000
62,0.9147984385490417,0.16180221736431122,0.1099555715918541,0.643040657043457,1.0,1.0,1.0,2000
63,0.913989245891571,0.16026189923286438,0.10973314195871353,0.6439942121505737,1.0,1.0,1.0,2000
64,0.9128609895706177,0.1606246829032898,0.10956260561943054,0.642673671245575,1.0,1.0,1.0,2000
65,0.9118190407752991,0.1622803956270218,0.1094275638461113,0.6401110887527466,1.0,1.0,1.0,2000
66,0.9111138582229614,0.16364771127700806,0.1092771589756012,0.6381889581680298,1.0,1.0,1.0,2000
67,0.9103202819824219,0.16305427253246307,0.10905154794454575,0.6382144689559937,1.0,1.0,1.0,2000
68,0.9093606472015381,0.1606207937002182,0.10873471945524216,0.6400051116943359,1.0,1.0,1.0,2000
69,0.9086089730262756,0.15820851922035217,0.10835959762334824,0.6420408487319946,1.0,1.0,1.0,2000
70,0.9079875946044922,0.15742512047290802,0.10797185450792313,0.6425906419754028,1.0,1.0,1.0,2000
71,0.9072104096412659,0.1584765762090683,0.1076221764087677,0.6411116719245911,1.0,1.0,1.0,2000
72,0.9064487218856812,0.16038778424263,0.10736163705587387,0.6386992931365967,1.0,1.0,1.0,2000
73,0.9058446884155273,0.16159336268901825,0.10719268769025803,0.6370586156845093,1.0,1.0,1.0,2000
74,0.9051833152770996,0.1611703485250473,0.1070413812994957,0.6369715929031372,1.0,1.0,1.0,2000
75,0.9044307470321655,0.15992774069309235,0.10681451857089996,0.6376885175704956,1.0,1.0,1.0,2000
76,0.9037593007087708,0.15956878662109375,0.1064857766032219,0.6377047300338745,1.0,1.0,1.0,2000
